id,email,password,role
1,juan@host.com,mypass,user
2,juan@host.com,mypass,user
3,juan@host.com,mypass,user
4,toni@host.com,mypass,user
5,juan@host.com,mypass,user
6,lydia@host.com,mypass,user
7,toni@host.com,mypass,user
8,juan@host.com,mypass,user
9,lydia@host.com,mypass,user
10,toni@host.com,mypass,user
11,pepe@host.com,mypass,user
12,pepe@host.com,mypass,user
13,pepe@host.com,mypass,user
14,juan@host.com,mypass,user
15,lydia@host.com,mypass,user
16,toni@host.com,mypass,user
17,pepe@host.com,mypass,user
18,juan@host.com,mypass,user
19,lydia@host.com,mypass,user
20,toni@host.com,mypass,user
21,pepe@host.com,mypass,user
